Category,Size_in_Mb,Content Rating,Ad Supported,In App Purchases,Transformed_Rating
1.9,0.890625,2.2,0,0,0
2.4,1.5,2.2,0,0,0
2.3,5.6,2.2,1,0,0
2.3,2.6,2.2,0,0,5
2.2,24.0,2.2,1,0,4
2.2,5.4,2.2,0,0,4
2.3,2.1,2.2,0,0,4
1.9,4.0,2.3,1,0,4
1.8,9.5,2.2,0,0,4
2.0,10.0,2.2,0,0,4
1.8,6.5,2.2,0,0,0
2.5,26.0,2.2,1,0,0
2.2,8.3,2.3,1,0,0
2.8,41.0,2.2,0,0,5
2.5,1.5,2.2,0,0,0
2.4,5.5,2.2,1,0,0
2.2,4.4,2.3,1,0,4
2.3,2.9,2.3,0,0,0
2.3,6.8,2.3,1,0,0
2.3,2.7,2.3,1,0,0
2.4,5.1,2.2,0,0,3
1.7,18.0,2.2,0,0,3
2.2,9.2,2.2,0,0,5
2.2,8.8,2.2,1,0,5
2.2,19.0,2.2,0,0,5
1.9,12.0,2.2,0,1,0
1.4,9.5,2.2,1,0,0
2.3,7.4,2.2,1,0,0
2.2,12.0,2.2,0,0,0
2.7,47.0,2.2,1,1,4
2.0,7.3,2.2,1,0,0
1.5,1.3,2.2,0,0,0
1.8,9.6,2.3,0,0,4
1.9,18.0,2.2,1,0,5
2.5,50.0,2.2,0,0,5
1.5,3.2,2.2,0,0,0
2.5,8.3,2.2,0,0,5
1.6,36.0,2.2,0,0,0
2.5,4.0,2.2,1,0,0
1.7,42.0,2.2,0,0,0
2.5,18.0,2.2,0,0,0
2.4,1.8,2.2,1,0,4
1.9,12.0,2.2,0,0,4
2.0,0.3203125,2.2,0,0,0
2.3,4.5,2.2,0,0,0
2.4,3.0,2.2,1,0,0
2.2,0.1328125,2.2,0,0,5
2.3,8.1,2.2,1,0,0
2.7,37.0,2.7,1,0,3
2.8,18.0,2.2,1,0,0
2.5,16.0,2.2,1,0,4
2.5,3.1,2.2,0,0,0
2.3,62.0,2.2,1,0,4
1.9,53.0,2.2,0,0,0
2.0,53.0,2.2,0,0,4
1.8,5.3,2.2,0,0,3
1.4,21.0,2.2,0,0,0
1.5,36.0,2.7,0,0,0
2.3,4.1,2.2,0,0,0
2.5,17.0,2.2,1,0,4
2.5,3.1,2.2,1,0,0
2.2,20.0,2.5,1,0,4
2.4,7.7,2.2,0,0,0
2.2,41.0,2.2,0,0,4
2.0,7.9,2.2,0,0,3
1.5,5.2,2.2,0,0,3
2.0,2.5,2.2,0,0,5
1.9,7.8,2.2,0,0,5
3.1,2.5,2.2,1,0,4
2.2,31.0,2.2,0,0,0
2.2,4.4,2.2,1,0,0
2.3,29.0,2.2,0,0,0
